,type,subtype,ts,user,text,inviter,channel,is_system_message,client_msg_id,team,pinned_to,pinned_info,old_name,name,with_attachments,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,subscribed,with_files,reactions,topic,edited,hidden,root,purpose,username,bot_id,icons
2479,message,,1582817393.0071,USAAUCX18,5b51dd09f4a70959c91488aee0f689e9fb64ee3d199876915e800e4b3d58a5c3,,GSR9LR79B,False,5c59450a-a18d-41c2-9e79-9467722f2a8b,TPV9DP0N4,['GSR9LR79B'],"{'channel': 'GSR9LR79B', 'pinned_by': 'USAAUCX18', 'pinned_ts': 1582817399}",,,,,,,,,,,,,"[{'name': 'alex_r', 'users': ['USDNUAYRY'], 'count': 1}]",,"{'user': 'USAAUCX18', 'ts': '1582817410.000000'}",,,,,,
2480,message,,1581880217.3289,USAAUCX18,be45ff6f618e649a830ae941e29abc2b0e4865e19b178b08178ff887c0fc265c,,GSR9LR79B,False,74e619b3-2d42-4fa3-8071-26c185b0951e,TPV9DP0N4,,,,,,,,,,,,,,,,,,,,,,,
2481,message,,1581879447.3288,USAAUCX18,38d733800ced7faa3a6c33a7af56b7b15ede61e7bd409e8c675c845045175733,,GSR9LR79B,False,82d799a7-df33-4684-a6b5-ea67873a2dae,TPV9DP0N4,,,,,,,,1581879447.3288,4.0,3.0,1583095648.0244,"['USSGPS9TP', 'USWMKAJHW', 'USSGVJBL5']",0.0,,,,,,,,,,
2482,message,,1581879441.3286,USAAUCX18,58b54e11890af0e4c11f4339f0a96e662a77a437d8c482c55e5e08a4aea1d249,,GSR9LR79B,False,f28893e4-e2d7-4ac0-a6e6-38dd9046165a,TPV9DP0N4,,,,,,,,1581879441.3286,19.0,4.0,1583126034.0258,"['UUG9HD3GQ', 'USWMKAJHW', 'USUCC06MV', 'USSGVJBL5']",0.0,,,,,,,,,,
2483,message,,1581879435.3284,USAAUCX18,f11a0a2801d97a6dae5bf6c379d01d73b14ef23f143a09802e673700bd7dd2f3,,GSR9LR79B,False,20e0abdf-35ec-4ebb-a8bc-3e07dc028bc1,TPV9DP0N4,,,,,,,,1581879435.3284,7.0,4.0,1583095417.0194,"['USUNGLN0N', 'USWMKAJHW', 'USDNU8PQA', 'USSGVJBL5']",0.0,,,,,,,,,,
2484,message,,1581879425.3282,USAAUCX18,f48e5dee40903f3a621d7409941afc188023d828866aab33c78255168e8e6efe,,GSR9LR79B,False,44467fb1-dd29-4d1c-b7fe-7295ef7aec2b,TPV9DP0N4,,,,,,,,1581879425.3282,12.0,5.0,1583861223.0342,"['USSGPU9V3', 'USDNUBAGJ', 'USUNKHZUN', 'USWMKAJHW', 'UTD2737GU']",0.0,,,,,,,,,,
2485,message,,1581879419.328,USAAUCX18,d1830cbad37cce128b27ea20cee44416eb87d5ece79b512f3628ad8461d47c93,,GSR9LR79B,False,e42430f2-cc54-4e56-962d-1b9a81567c25,TPV9DP0N4,,,,,,,,1581879419.328,20.0,8.0,1582362469.3678,"['UT51SRKN1', 'USUC4M2HM', 'USWMKAJHW', 'USDNUBAGJ', 'USUNGM5D4', 'USSGE53PA', 'USUNGLN0N', 'USSGKHV45']",0.0,,,,,,,,,,
2486,message,,1581879413.3278,USAAUCX18,05b2c9ce0168a82e9a2ee1fcd6623a8f30ee03b2abb2e61770d85a13f47dce11,,GSR9LR79B,False,b5783677-6281-4728-b953-425df6c760f2,TPV9DP0N4,,,,,,,,1581879413.3278,14.0,5.0,1583001498.0122,"['USDNUBAGJ', 'USWMKAJHW', 'USSGPU9V3', 'USDNU94JE', 'USSGVJBL5']",0.0,,,,,,,,,,
2487,message,,1581879406.3276,USAAUCX18,2487e20f267c6835f1f29ab5dc1c2363f102b2f7dc1eeea50130de1c1f93c11e,,GSR9LR79B,False,df65d25e-2eb9-4afd-bb38-63bc322d48fc,TPV9DP0N4,,,,,,,,1581879406.3276,5.0,3.0,1582830564.0095,"['USDNUBAGJ', 'USWMKAJHW', 'USUCC06MV']",0.0,,,,,,,,,,
2488,message,,1581879398.3274,USAAUCX18,4e3eb596b3945a51ca0b9b8cd31aa2746760d030f29f1b1bfec70d42b88f8b68,,GSR9LR79B,False,f323423f-7398-46bc-a47a-abbae049d80a,TPV9DP0N4,,,,,,,,1581879398.3274,7.0,3.0,1582038520.3464,"['USSGH31FA', 'USSGPU9V3', 'USWMKAJHW']",0.0,,,,,,,,,,
2489,message,,1581879389.3272,USAAUCX18,1142c543f556d67a5801404f72794a362de5341d8ceb383cb3d60f130c9e6c09,,GSR9LR79B,False,3bb9c818-a7d2-4ccc-9351-d8a650674775,TPV9DP0N4,,,,,,,,1581879389.3272,24.0,6.0,1582652593.0048,"['USF2R12F5', 'USWMKAJHW', 'USSGPSV29', 'USUNC5F2A', 'USDNU94JE', 'USUCC06MV']",0.0,,,,,,,,,,
2490,message,,1581879383.327,USAAUCX18,96ea1acc65695bba0da4aed78482d7d09fa8206bec4a2371e2f8b85e578ded91,,GSR9LR79B,False,77f046ee-24e0-4513-8bea-ad3fe51644f2,TPV9DP0N4,,,,,,,,1581879383.327,24.0,6.0,1582208183.363,"['USF2R12F5', 'USWMKAJHW', 'USSGSSABX', 'USUC4M2HM', 'USUCEMMF1', 'USUC91J23']",0.0,,,,,,,,,,
2491,message,,1581879376.3268,USAAUCX18,0ddf0bf891263362f73ca99d768df3313b3981fe2ff9cd4c10ba7f10eb4c8a9a,,GSR9LR79B,False,cd33e6f4-aa70-4e26-9bc5-9818b0c53f8e,TPV9DP0N4,,,,,,,,1581879376.3268,6.0,3.0,1582105027.3523,"['USSGE8YGG', 'USWMKAJHW', 'USDNRGKGA']",0.0,,,,,,,,,,
2492,message,,1581879358.3266,USAAUCX18,526e503e10ce01296b46b026478833e7840c0b81cc1c12eeefc9b822ca6c15f3,,GSR9LR79B,False,cace51fd-fa1a-4e6d-8348-4733ae1d38d8,TPV9DP0N4,,,,,,,,,,,,,,,,,,,,,,,
